16
Potion_Of_Strength 1 +2_ATK         1 0 0 0 0 0 0 
Potion_Of_Healing 1 Restores_HP     1 1 0 0 0 0 0   
Heroic_Brew 1 +2_ATK                1 2 0 0 0 0 0 
Potion_Of_Defense 1 +2_DEF          1 3 0 0 0 0 0
Tool_Kit 0 50%_Disarm               0 0 0 5 1 0 250
ShortSword 0 +2_ATK                 0 0 0 1 2 0 150
Helmet 0 +1_DEF                     0 0 0 4 3 0 125
Dagger 0 +1_ATK                     0 0 0 1 4 0 25
BroadSword 0 +3_ATK                 0 0 0 1 5 0 250
Shield 0 +1_DEF                     0 0 0 2 6 0 150
Staff 0 +1_ATK                      0 0 0 1 7 0 100
LongSword 0 +3_ATK                  0 0 0 1 8 0 350
Chain_Mail 0 +1_DEF                 0 0 0 3 9 0 500
CrossBow 0 +3_ATK                   0 0 0 1 10 0 350
Battle_Axe 0 +4_ATK                 0 0 0 1 11 0 450
Plate_Mail 0 +2_DEF                 0 0 0 3 12 0 850  

