Adam
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      80      80      120    100    100   40     140    120    60    120  120 
20     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
30     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
40     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
50     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
60     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
80     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
90     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
100    5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
110    5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
120    5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
130    5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
150    5 5     5 5     5 5    5 5    5 5   5 5    0 0    5 5    5 5   5 5  5 5
160    5 5     5 5     0 0    5 5    5 5   5 5    0 0    0 0    5 5   0 0  0 0
170    5 5     5 5     0 0    0 0    0 0   5 5    0 0    0 0    5 5   0 0  0 0
200    0 0     0 0     0 0    0 0    0 0   5 5    0 0    0 0    5 5   0 0  0 0
