Gerald
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      80      30      80     100    30    140    100    120    100   140  80
20     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
30     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
40     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
50     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
60     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
80     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
90     5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
100    5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
110    5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
120    5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
130    5 5     5 5     5 5    5 5    5 5   5 5    5 5    5 5    5 5   5 5  5 5
150    5 5     5 5     5 5    5 5    5 5   0 0    5 5    5 5    5 5   0 0  5 5
160    5 5     5 5     5 5    5 5    5 5   0 0    5 5    0 0    5 5   0 0  5 5
170    5 5     5 5     5 5    0 0    5 5   0 0    0 0    0 0    0 0   0 0  5 5
200    0 0     5 5     0 0    0 0    5 5   0 0    0 0    0 0    0 0   0 0  0 0
