167 22            //total_items  *  Total_Types
ITEMS < Item_name  description effect.vc#  <effecttype> value>
0 5      0       1
Heal     Recover_30_HP           1       5       50
Pure     Cures_Poison            2       5       75
Soft     Removes_stone           3       5       100
Tent     Rest:_Recover_HP        4       2       75
Cabin    Rest:_Restore_MP        5       2       500
House    Rest:_Restore_HP/MP     6       2       3000
//
PLOT_ITEMS < Item_name  description effect.vc#  <effecttype> value>
6 21     0       0
Lute     The_Magic_Lute          0       7       0
Crown    From_Marsh_Cave         0       7       0
Crystal  A_Crystal_Ball          0       7       0
Herb     A_Magic_Herb            0       7       0
Key      The_Mystic_Key          0       7       0
TNT      Handle_with_Care!       0       7       0
Ruby     A_Red_Rock              0       7       0
Canoe                            0       7       0
Floater                          0       7       0
Tail     A_rotten_Rat_Tail       0       7       0
Bottle   A_Fairy_inside!         0       7       0
OxyAle   Produces_Fresh_Air      0       7       0
Slab                             0       7       0
Chime                            0       7       0
Cube     Colors_swirl_around     0       7       0
Adamant                          0       7       0
//                                                 
SPECIAL_ITEMS < Description effects.vc# >
0 0     10      1
//
SWORDS  < Value +DMG +HIT <EQUIPABLE CHARS> 0 >
23 33   1       2
Wooden  250     30 10        1 2 3 4 0
Iron    750     45 12        1 3 4   0
Black   800     50 11        1 3 4   0
Battle  1250    60 15        1 3     0
Broad   1550    70 17        1 3 4   0
Silver  2000    80 20        1 3 4   0
Long    3000    90 25        1 3     0
Flame   5000    105 20       1 3     0
Thunder 5500    110 20       1 2 3   0
Light   12000   150 25       1 2 3 4 0
Crystal 30000   200 28       1 3     0
//
ARMORS  < Value +ABS +EVD <CHARS EQUIPABLE> 0 >
84 106   4       12
Clothes  50     3 0           1 2 3 4 0
Leather  200    5 0           1 2 3 4 0
Wooden   250    7 0           1 2 3 4 0
ChainML  500    15 0          1 2 3 4 0
ScaleML  750    18 0          1 2 3 4 0
Iron     1000   25 0          1 3 4   0
Steel    1500   26 0          1 2 3 4 0
RubyMail 2000   30 0          1 2 3 4 0
PlateML  2250   34 0          1 3 4   0
Silver   2500   35 0          1 2 3 4 0
Knight   2800   40 0          1 3     0
Lucid    3000   40 0          1 2 3 4 0
Fire     3500   42 0          1 3     0
Ice      3500   43 0          2 4     0
Zeus     3500   44 0          2 4     0
Earth    3500   45 0          1 3     0
Gold     5000   48 0          3       0 
DmndMail 7500   50 0          1 2 3 4 0
Magic    8000   50 0          1 2 3 4 0
Holy     10000  55 0          1 2     0
Mystic   12500  55 0          1 3     0
Platinum 15000  60 0          3       0
Crystal  25000  75 0          1 3     0
//
ROBES	< Value +DEF +DOD +MHP +MMP +STR +STM +VIT +AGL +MAG +WIS +WIL +FER +LUC WGT ELE <CHARS EQUIPABLE> 0 >
107 111 4       13
Robe	40	2 0 0 0 0 0 0 0 0 0 0 0 0 1 0		1 2 3 4	0
Bard	250	5 1 0 0 0 0 0 1 1 0 0 0 1 1 0		1 2 3 4	0
Mage	1000	18 1 0 50 0 0 0 0 1 1 1 0 1 2 7		1 2	0
Cleric	1500	22 1 0 50 0 0 0 0 1 0 3 0 2 2 5		1 2	0
Sage	3000	30 2 0 100 1 1 1 0 2 2 2 1 3 3 0	1 2	0
//
CAPES	< Value +DEF +DOD +MHP +MMP +STR +STM +VIT +AGL +MAG +WIS +WIL +FER +LUC WGT ELE <CHARS EQUIPABLE> 0 >
112 115 4       14
Cape	20	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1 2 3 4	0
Tunic	150	3 1 0 0 0 0 0 0 0 0 0 1 0 1 0		1 2 3 4	0
Maiden	500	5 2 0 0 0 0 0 1 1 0 0 0 1 1 0		2 4	0
Magic	1000	9 2 0 50 0 0 0 0 2 2 2 1 1 2 7		1 2	0
//
SHIELDS	< Value +DEF +DOD +MHP +MMP +STR +STM +VIT +AGL +MAG +WIS +WIL +FER +LUC WGT <CHARS EQUIPABLE> 0 >
116 121 8       15
Buckler	75	1 5 0 0 0 0 0 0 0 0 0 0 0 1 0		1 2 3 4	0
Iron	300	2 10 0 0 0 0 0 -1 0 0 0 1 0 3 0		1 3 4	0
Steel	750	4 12 0 0 0 0 0 0 0 0 0 2 1 2 0		1 2 3 4	0
Silver	1200	6 15 0 0 0 0 0 0 1 0 0 2 2 3 0		1 3 4	0
Gold	3000	8 18 0 0 1 1 0 -1 0 0 0 3 1 5 0		3 4	0
Lucid	6000	10 20 0 0 1 1 1 0 2 1 3 2 2 3 5		1 2 3 4	0
//
HELMETS	< Value +DEF +DOD +MHP +MMP +STR +STM +VIT +AGL +MAG +WIS +WIL +FER +LUC WGT <CHARS EQUIPABLE> 0 >
122 131 5       16
Cap	 70	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1 2 3 4	0
Wooden	 225	4 0 0 0 0 0 0 0 0 0 0 0 0 1 0		1 2 3 4	0
IronCap	 350	8 0 0 0 0 1 0 0 0 0 0 1 0 3 0		1 2 3 4	0
Bronze	 500	10 0 0 0 0 0 0 0 0 0 0 1 1 2 0		1 2 3 4	0
Battle	 1000	15 0 0 0 1 1 0 0 0 0 0 3 0 3 0		1 3	0
Silver	 1400	17 0 0 0 0 0 1 0 1 0 1 2 1 2 0		1 3 4	0
IronMask 2050	21 0 0 0 1 0 0 -1 0 0 0 3 1 4 0		3 4	0
Gold	 3500	25 0 0 0 1 1 0 -1 0 0 0 4 2 6 0		3	0
