Liam
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      26      5       8      6      3     4      8      6      3     8      7
10     4  7    1  2    2  3   2  3   0  1  0  2   2  4   1  3   0  0  0  0   2  2
20     6  9    1  2    2  4   1  2   0  1  1  3   1  3   2  3   0  0  1  1   1  3
30     8  11   1  2    2  2   1  3   1  2  1  1   3  3   1  2   0  0  1  1   2  4
45     10 13   1  2    2  3   2  3   0  1  0  2   2  4   1  3   0  0  1  1   2  2
60     4  7    1  2    2  4   1  2   0  1  1  3   1  3   2  3   0  0  1  1   1  3
80     6  9    1  2    2  2   1  3   1  2  1  1   3  3   1  2   0  0  0  0   2  4
100    8  11   1  2    2  3   2  3   0  1  0  2   2  4   1  3   0  0  1  1   2  2
125    10 13   1  2    2  4   1  2   0  1  1  3   1  3   2  3   0  0  1  1   1  3
150    4  7    1  2    2  2   1  3   1  2  1  1   3  3   1  2   0  0  1  1   2  4
200    6  9    1  2    2  3   2  3   0  1  0  2   2  4   1  3   0  0  1  1   2  2
250    8  11   1  2    2  4   1  2   0  1  1  3   1  3   2  3   0  0  0  0   1  3
300    10 13   1  2    2  2   1  3   1  2  1  1   3  3   1  2   0  0  1  1   2  4
400    4  7    1  2    2  3   2  3   0  1  0  2   2  4   1  3   0  0  1  1   2  2
500    6  9    1  2    2  4   1  2   0  1  1  3   1  3   2  3   0  0  1  1   1  3
750    8  11   1  2    2  2   1  3   1  2  1  1   3  3   1  2   0  0  1  1   2  4
1000   10 13   1  2    2  3   2  3   0  1  0  2   2  4   1  3   0  0  0  0   2  2
1250   4  7    1  2    2  4   1  2   0  1  1  3   1  3   2  3   0  0  1  1   1  3
1500   6  9    1  2    2  2   1  3   1  2  1  1   3  3   1  2   0  0  1  1   2  4
2000   8  11   1  2    2  3   2  3   0  1  0  2   2  4   1  3   0  0  1  1   2  2
2500   10 13   1  2    2  4   1  2   0  1  1  3   1  3   2  3   0  0  1  1   1  3
3000   4  7    1  2    2  2   1  3   1  2  1  1   3  3   1  2   0  0  0  0   2  4
3500   6  9    1  2    2  3   2  3   0  1  0  2   2  4   1  3   0  0  1  1   2  2
4000   8  11   1  2    2  4   1  2   0  1  1  3   1  3   2  3   0  0  1  1   1  3
5000   10 13   1  2    2  2   1  3   1  2  1  1   3  3   1  2   0  0  1  1   2  4
6000   4  7    1  2    2  3   2  3   0  1  0  2   2  4   1  3   0  0  1  1   2  2
7000   6  9    1  2    2  4   1  2   0  1  1  3   1  3   2  3   0  0  0  0   1  3
8000   8  11   1  2    2  2   1  3   1  2  1  1   3  3   1  2   0  0  1  1   2  4
10000  10 13   1  2    2  3   2  3   0  1  0  2   2  4   1  3   0  0  1  1   2  2
12000  4  7    1  2    2  4   1  2   0  1  1  3   1  3   2  3   0  0  1  1   1  3
14000  6  9    1  2    2  2   1  3   1  2  1  1   3  3   1  2   0  0  1  1   2  4
