Ilfanil
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      50      0       12      13      0     0      14      7      7     6    8
10      9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
20     10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
32     10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
50     9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
78     10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
100     10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
132    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
160    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
196    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    1 1   1 1  2 3
256    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
295    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
350    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
450    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
600    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
900    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
1562    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
1955   10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
14255   10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
19656    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    1 1   0 0  1 3
26912    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
36666  10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
46666  9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
53000  10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
60154  10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
425    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
455    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
486    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
551    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
585    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    1 1   0 0  1 2
620    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
656    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
693    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
731    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
770    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
810    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
851    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
893    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
936    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
980    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    1 1   1 1  2 3
1025   9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
1071   10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
1118   10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
1166   9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
1215   10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
1265   10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
1368   9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
1421   10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
1475   10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
       
