Sam
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea spell
0      35      6       6      8      6     4      7      6      3     8    6   0
5      8 12    9 12    2 3    1 3    1 2   1 2    3 3    1 2    0 0   1 1  2 3 0
11     7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   0 0  1 2 0
18     9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
26     8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   0 0  2 3 0
35     7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   1 1  1 2 0
75     9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
156     8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    1 1   1 1  2 3 0
168     7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   0 0  1 2 0
281     9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
395     8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   0 0  2 3 0
410    7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   1 1  1 2 0
526    9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
643    8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   1 1  2 3 0
761    7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   0 0  1 2 0
880    9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    1 1   1 1  1 3 0
900    8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   0 0  2 3 0
1021    7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   1 1  1 2 0
1243    9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
1566    8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   1 1  2 3 0
2090    7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   0 0  1 2 0
2815    9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
3331    8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   0 0  2 3 0
4358    7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    1 1   1 1  1 2 0
5386    9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
6415    8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   1 1  2 3 0
7445    7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   0 0  1 2 0
9486    9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
11518    8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   0 0  2 3 0
12551    7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   1 1  1 2 0
13585    9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
14620    8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    1 1   1 1  2 3 0
15656    7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   0 0  1 2 0
16693    9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
17731    8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   0 0  2 3 0
18770    7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   1 1  1 2 0
19810    9 13    9 12    3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
20851    8 12    9 13    2 3    1 3    1 2   1 2    3 3    1 2    0 0   1 1  2 3 0
22893    7 11    9 13    1 2    2 3    1 3   0 1    2 3    1 3    0 0   0 0  1 2 0
