Kain
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      16      3       4      7      2     0      4      6      3     3    6
5      3 4     0 0     1 2    0 0    0 0   0 0    1 2    1 1    0 0   0 0  1 3
14     0 0     0 0     0 0    0 0    0 0   0 1    0 0    0 0    0 0   0 0  0 0
26     9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
35     8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
45     7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
56     9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
68     8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    1 1   1 1  2 3
81     7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
95     9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
110    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
126    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
143    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
161    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
180    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    1 1   1 1  1 3
200    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
221    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
243    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
266    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
290    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
315    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
331    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
358    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    1 1   1 1  1 2
386    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
415    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
445    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
486    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
518    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
551    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
585    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
620    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    1 1   1 1  2 3
656    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
693    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
731    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
770    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
810    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
851    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
893    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
936    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    1 1   1 1  1 3
980    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
1025   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
1071   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
1118   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
1166   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
1215   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
1265   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
1316   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    1 1   1 1  1 2
1368   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
1421   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
1475   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
