Menolly
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      40      10       9      7      3     4      9      6      4     9    7
8      8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
20     7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
45     9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
83     8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
121     7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
160    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
200    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    1 1   1 1  2 3
260    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
360    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
500    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
750    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
900    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
1300    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
1900   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
2900   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    1 1   1 1  1 3
4000   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
6500   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
9000   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
13500   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
17000  7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
21632  9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
26333  8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
33333  7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    1 1   1 1  1 2
37200  9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
42000  8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
48692  7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
60000  9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
518    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
551    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
585    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
620    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    1 1   1 1  2 3
656    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
693    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
731    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
770    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
810    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
851    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
893    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
936    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    1 1   1 1  1 3
980    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
1025   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2
1071   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
1118   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
1166   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
1215   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3
1265   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3
1316   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    1 1   1 1  1 2
1368   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3
1421   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3
1475   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2
